"","statut","age","expérience.professionnelle","temps.passé.moyen.sur.internet","appareil.préféré.de.consultation","nombre.de.boites.mail","nombre.de.messagerie.consultées.régulièrement","fréquence.de.consultation.de.la.messagerie","nombre.de.mails.reçus.par.jour","concerné","notification.de.mails","lecture.de.tous.les.mails","lecture.de.l.objet.expéditeur","nombre.de.mails.non.lus","nombre.de.mails.envoyés.par.semaine","réponse.à.des.mails.nécessitant.une.réponse","consultation.de.mails.en.dehors.des.heures.de.travail.études","personnalisation.de.la.messagerie","importance.de.l.ergonomie","sentiment.envers.de.zéro.inbox","autre.fonctionnalité.de.la.boite.mail"
"1","3A",23,"Expérience > 6 mois",6,"Un ordinateur",3,2,"< 10",5,"Rarement","Oui","En grande partie","Oui",0,4,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"2","Enseignant",34,"Ça se compte en années",7,"Un ordinateur",3,2,"> 10",50,"Souvent","Non","Quasiment tous","Oui",5,100,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"3","1A",20,"Entre 1 et 6 mois",4,"Un smartphone",5,4,"< 3",2,"Rarement","Oui","Rarement","Oui",0,1,"Oui","Non","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"4","Autre",26,"Expérience > 6 mois",8,"Un ordinateur",2,2,"> 10",10,"Rarement","Oui","Rarement","Oui",0,3,"Parfois","Non","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"6","Enseignant",35,"Ça se compte en années",5,"Un ordinateur",2,2,"> 10",20,"Souvent","Oui","Rarement","Oui",0,50,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"7","Enseignant",56,"Ça se compte en années",8,"Un ordinateur",2,2,"> 30",30,"Souvent","Non","En grande partie","Oui",9526,30,"Parfois","Oui","Non","Pas tellement importante","Avoir 10.000 mails non lus","Oui, parfois"
"8","Personnel Administratif",51,"Ça se compte en années",1,"Un ordinateur",3,3,"< 10",10,"Souvent","Oui","Quasiment tous","Oui",1,100,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"9","Enseignant",35,"Ça se compte en années",2,"Un ordinateur",3,2,"> 30",20,"Souvent","Oui","En grande partie","Oui",0,50,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"10","1A",19,"Sans Expérience",1,"Une tablette",4,2,"< 3",4,"Rarement","Oui","Rarement","Oui",250,2,"Oui","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Oui, souvent"
"11","1A",20,"Entre 1 et 6 mois",9,"Un smartphone",4,3,"< 10",3,"Rarement","Oui","Rarement","Non",500,10,"Non","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
